"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 05 14:30:45 UTC 2022","Fri Aug 05 14:31:09 UTC 2022","24846","chromium","redmine.spec.js","Check clickability of header menu","","","Click  on links of header menu",""
"passed","Wed Nov 02 10:08:11 UTC 2022","Wed Nov 02 10:08:16 UTC 2022","4834","","tests/redmine.spec.js","Smoke test","","","Check ability  to recover password",""
"passed","Wed Nov 02 10:08:09 UTC 2022","Wed Nov 02 10:08:11 UTC 2022","2459","","tests/redmine.spec.js","Smoke test","","","Check results with invalid inputed data",""
"passed","Wed Nov 02 10:07:59 UTC 2022","Wed Nov 02 10:08:07 UTC 2022","7750","","tests/redmine.spec.js","Smoke test","","","Check Clickability  of headers menu links",""
"passed","Wed Nov 02 10:08:07 UTC 2022","Wed Nov 02 10:08:09 UTC 2022","2265","","tests/redmine.spec.js","Smoke test","","","Check results with valid inputed data",""
"passed","Wed Nov 02 10:08:16 UTC 2022","Wed Nov 02 10:08:22 UTC 2022","5416","","tests/redmine.spec.js","Smoke test","","","Check ability to Log in with valid credantials",""
